指標名,目標値,現状値,測定方法,更新頻度,責任者,達成期限,リスク対策
月間アクティブユーザー,200人,0人,Discord参加状況・週3回以上投稿,週次,所長,2025-10-15,SNS広告・コンテンツSEO
プレミアム転換率,25%,0%,無料→有料移行率・2週間後測定,週次,所長,2025-09-15,価値訴求強化
研究員平均月収,30000円,0円,成果報告分析・月次アンケート,月次,所長,2025-11-15,コンテンツ品質向上
継続率（3ヶ月）,70%,0%,ユーザー離脱率・エンゲージメント相関,月次,所長,2025-12-15,エンゲージメント施策
質問応答時間,12時間以内,24時間,プレミアム：6時間以内,日次,所長,2025-09-01,自動化ツール導入
満足度NPS,+50以上,0,月次NPS調査・改善PDCA,月次,所長,2025-10-01,個別サポート強化
月次売上成長率,20%,0%,MoM Growth Rate,月次,所長,2025-12-01,コンバージョン最適化
固定費,5000円/月,5000円,Discord・ツール・ドメイン費用,月次,所長,継続,コスト最適化
変動費率,3.6%,0%,売上の3.6%,月次,所長,継続,効率化施策
損益分岐点,12人,0人,プレミアム会員数,月次,所長,2025-08-31,集客施策強化
目標利益,30000円/月,0円,67人のプレミアム会員必要,月次,所長,2025-11-30,スケーラビリティ確保